Month	May-15	juil-15	Aug-15	sept-15	oct-15	nov-15	Dec-15	janv-16	Feb-16	mars-16	Apr-16	May-16	juin-16	juil-16	Aug-16	sept-16	oct-16	nov-16	Dec-16	janv-17	Feb-17	mars-17	Apr-17	May-17	juin-17	juil-17	Aug-17	sept-17	oct-17	nov-17	Dec-17	janv-18	Feb-18	mars-18	Apr-18	May-18
Traffic	48234	56972	46750	47378	53297	85670	62876	52892	55458	67546	77488	79768	77456	101697	72399	84669	101984	177626	146621	208620	217052	232775	254006	207516	194194	184990	149980	191155	247496	573812	369561	215816.152	248001.3414	227374.2683	249166.9004	255360.5346
Sales	824	923	594	943	453	1251	943	635	604	838	1472	1691	1317	1658	941	1702	867	2593	2199	2503			4826	4399	3301	3015	1950	3842	2104	8378	5543	2590	2703	2819	4734	5414
Revenue	83452.24	$77,647.48	$49,415.73	$88,097.31	$37,732.41	$105,078.20	$79,412.39	$52,140.93	$680,081.31	$66,754.36	$116,191.71	$142,304.52	$117,059.25	$0.00	$80,320.90	$160,024.66	$72,201.10	$217,866.46	$185,182.32	$205,657.60	$188,181.05	$230,046.88	$380,876.92	$370,204.39	$293,485.39	$255,640.27	$166,390.81	$361,283.52	$175,218.51	$703,806.81	$466,755.54	$212,751.56	$215,013.69	$224,709.44	$373,620.78	$455,558.09
